timeframe,date,open,high,low,close,volume,peak_or_valley,strength,permanent_strength
15min,2023-12-22 11:00:00+00:00,43697.9,43697.9,43629.1,43636.7,11.00147327,valley,4200.0,True
1min,2023-12-22 11:03:00+00:00,43657.6,43660.4,43651.1,43658.8,2.91280054,peak,120.0,True
1min,2023-12-22 11:05:00+00:00,43660.2,43664.7,43659.3,43664.6,0.50972804,valley,120.0,True
1min,2023-12-22 11:06:00+00:00,43664.6,43664.8,43664.5,43664.7,0.86602124,peak,360.0,True
1min,2023-12-22 11:08:00+00:00,43664.7,43664.7,43643.2,43643.3,1.37313025,valley,360.0,True
1min,2023-12-22 11:15:00+00:00,43670.1,43749.3,43670.1,43743.8,4.19788438,peak,120.0,True
5min,2023-12-22 11:18:00+00:00,43758.8,43782.0,43757.0,43781.9,2.3591823,peak,780.0,True
1min,2023-12-22 11:20:00+00:00,43766.5,43779.2,43745.9,43746.0,2.67953998,valley,240.0,True
1min,2023-12-22 11:23:00+00:00,43746.2,43761.3,43746.2,43758.6,1.57081222,peak,180.0,True
1min,2023-12-22 11:26:00+00:00,43754.1,43776.9,43737.0,43737.0,1.60134195,peak,300.0,True
1min,2023-12-22 11:27:00+00:00,43737.1,43754.2,43728.4,43754.2,1.73222257,valley,180.0,True
1min,2023-12-22 11:28:00+00:00,43754.6,43754.6,43751.0,43751.1,0.75784514,peak,120.0,True
1min,2023-12-22 11:30:00+00:00,43751.0,43751.1,43715.1,43715.2,1.3793443,valley,360.0,True
5min,2023-12-22 11:31:00+00:00,43715.2,43799.4,43715.2,43787.0,4.23888824,peak,720.0,True
5min,2023-12-22 11:36:00+00:00,43715.9,43722.3,43708.7,43722.3,0.627673,valley,1260.0,True
1min,2023-12-22 11:39:00+00:00,43754.4,43757.9,43746.5,43746.5,1.32524714,peak,120.0,True
1min,2023-12-22 11:41:00+00:00,43746.4,43780.8,43738.0,43780.7,0.64748421,valley,240.0,True
1H,2023-12-22 11:44:00+00:00,43823.5,43830.9,43804.6,43804.6,3.04062866,peak,15060.0,True
1min,2023-12-22 11:46:00+00:00,43808.6,43808.9,43788.3,43792.2,2.29760107,valley,120.0,True
1min,2023-12-22 11:48:00+00:00,43792.2,43792.3,43747.7,43777.5,1.19920894,valley,420.0,True
1min,2023-12-22 11:49:00+00:00,43777.4,43798.0,43777.4,43793.4,0.7563005,peak,120.0,True
1min,2023-12-22 11:50:00+00:00,43793.5,43793.5,43757.4,43757.5,1.43746967,valley,120.0,True
1min,2023-12-22 11:51:00+00:00,43762.2,43799.0,43762.2,43793.2,2.80035122,peak,300.0,True
1min,2023-12-22 11:53:00+00:00,43776.2,43791.2,43769.2,43778.7,0.61848653,valley,120.0,True
1min,2023-12-22 11:55:00+00:00,43782.6,43787.4,43764.8,43779.1,0.36434762,peak,120.0,True
1min,2023-12-22 11:57:00+00:00,43744.4,43764.8,43744.4,43755.0,1.06841275,valley,480.0,True
1min,2023-12-22 12:02:00+00:00,43784.0,43790.0,43760.5,43760.9,1.93996002,peak,540.0,True
1min,2023-12-22 12:08:00+00:00,43661.2,43683.8,43635.3,43640.4,6.50986089,valley,120.0,True
1min,2023-12-22 12:08:00+00:00,43661.2,43683.8,43635.3,43640.4,6.50986089,peak,120.0,True
1min,2023-12-22 12:10:00+00:00,43654.6,43657.5,43616.5,43616.5,1.89224778,valley,180.0,True
5min,2023-12-22 12:14:00+00:00,43600.0,43626.1,43571.1,43575.0,10.601634,valley,600.0,True
1min,2023-12-22 12:17:00+00:00,43605.0,43621.4,43605.0,43610.0,1.84090238,peak,180.0,True
1min,2023-12-22 12:19:00+00:00,43604.1,43618.7,43588.0,43588.1,1.75399655,peak,120.0,True
1min,2023-12-22 12:19:00+00:00,43604.1,43618.7,43588.0,43588.1,1.75399655,valley,180.0,True
1min,2023-12-22 12:22:00+00:00,43608.3,43612.7,43603.9,43610.6,1.15134767,peak,180.0,True
5min,2023-12-22 12:28:00+00:00,43554.1,43565.3,43548.4,43565.3,2.03458574,valley,1440.0,True
1min,2023-12-22 12:31:00+00:00,43571.2,43599.9,43571.1,43599.9,2.23790161,peak,120.0,True
1min,2023-12-22 12:35:00+00:00,43612.4,43623.1,43611.0,43614.0,3.5483367,peak,240.0,True
1min,2023-12-22 12:36:00+00:00,43614.0,43618.2,43608.0,43608.5,1.64352724,valley,120.0,True
1min,2023-12-22 12:45:00+00:00,43645.1,43646.0,43618.4,43620.3,1.66192698,valley,300.0,True
1min,2023-12-22 12:45:00+00:00,43645.1,43646.0,43618.4,43620.3,1.66192698,peak,120.0,True
15min,2023-12-22 12:49:00+00:00,43646.6,43649.3,43624.9,43625.0,0.28696098,peak,2340.0,True
1min,2023-12-22 12:52:00+00:00,43558.3,43558.3,43532.0,43532.0,5.4915409,valley,180.0,True
1min,2023-12-22 12:53:00+00:00,43532.1,43572.4,43532.1,43559.0,1.41226616,peak,120.0,True
15min,2023-12-22 12:55:00+00:00,43552.7,43552.7,43508.3,43543.1,1.60948227,valley,5220.0,True
1min,2023-12-22 12:59:00+00:00,43576.7,43587.6,43569.3,43569.4,1.15277546,peak,120.0,True
1min,2023-12-22 13:00:00+00:00,43569.4,43583.7,43565.3,43572.3,10.16810753,valley,180.0,True
1min,2023-12-22 13:01:00+00:00,43572.3,43595.8,43572.3,43595.7,2.572651,peak,540.0,True
1min,2023-12-22 13:02:00+00:00,43595.8,43595.8,43568.2,43595.5,2.59764597,valley,120.0,True
1min,2023-12-22 13:05:00+00:00,43557.0,43557.0,43535.1,43535.1,1.45700618,valley,480.0,True
1min,2023-12-22 13:06:00+00:00,43535.1,43584.6,43535.1,43584.6,1.26552819,peak,120.0,True
1min,2023-12-22 13:08:00+00:00,43567.2,43567.2,43565.4,43565.5,0.47047108,valley,120.0,True
5min,2023-12-22 13:12:00+00:00,43628.0,43638.4,43624.4,43638.3,0.16488692,peak,780.0,True
1min,2023-12-22 13:15:00+00:00,43628.5,43637.0,43621.6,43621.6,0.21840646,peak,120.0,True
1min,2023-12-22 13:17:00+00:00,43614.7,43614.7,43610.9,43611.0,1.25962426,valley,180.0,True
1min,2023-12-22 13:18:00+00:00,43610.9,43614.9,43610.9,43614.9,0.81224836,peak,120.0,True
5min,2023-12-22 13:22:00+00:00,43597.0,43609.3,43583.7,43583.8,1.05476828,valley,780.0,True
1min,2023-12-22 13:27:00+00:00,43636.8,43639.9,43636.7,43639.9,0.6990941,valley,120.0,True
