timeframe,date,open,high,low,close,volume,peak_or_valley,strength
5min,2017-12-30 11:32:00,13570.98,13570.99,13495.54,13495.77,19.69274055,valley,0 days 00:06:00
1min,2017-12-30 11:35:00,13524.9,13525.0,13500.0,13524.77,6.86336272,peak,0 days 00:02:00
15min,2017-12-30 11:38:00,13524.71,13524.8,13447.2,13468.22,33.68587478,valley,0 days 00:23:00
1min,2017-12-30 11:38:00,13524.71,13524.8,13447.2,13468.22,33.68587478,peak,0 days 00:02:00
15min,2017-12-30 11:41:00,13570.99,13598.0,13541.33,13574.89,2.9994266,peak,0 days 00:19:00
1min,2017-12-30 11:43:00,13497.39,13587.44,13497.39,13585.0,5.46397354,valley,0 days 00:03:00
1min,2017-12-30 11:44:00,13585.0,13589.33,13529.86,13578.5,5.01978665,peak,0 days 00:02:00
1min,2017-12-30 11:46:00,13578.93,13589.75,13531.41,13578.12,2.21255812,peak,0 days 00:04:00
1min,2017-12-30 11:47:00,13562.82,13563.63,13518.02,13547.65,9.82777609,valley,0 days 00:02:00
1min,2017-12-30 11:49:00,13560.74,13560.74,13509.24,13547.46,1.78864336,valley,0 days 00:02:00
1min,2017-12-30 11:50:00,13547.46,13569.0,13509.38,13511.81,2.26154879,peak,0 days 00:04:00
1min,2017-12-30 11:51:00,13568.02,13568.02,13500.24,13548.5,3.43806676,valley,0 days 00:02:00
5min,2017-12-30 11:53:00,13518.08,13532.36,13500.0,13517.5,5.74466005,valley,0 days 00:08:00
1min,2017-12-30 11:54:00,13500.15,13545.0,13500.15,13544.3,2.24295386,peak,0 days 00:02:00
5min,2017-12-30 12:00:00,13568.9,13578.46,13502.47,13502.47,11.19593442,peak,0 days 00:14:00
1min,2017-12-30 12:03:00,13400.0,13405.42,13304.02,13340.43,15.32006815,valley,0 days 00:02:00
1min,2017-12-30 12:09:00,13210.07,13250.0,13174.0,13230.76,44.85718803,valley,0 days 00:02:00
1min,2017-12-30 12:11:00,13231.8,13239.82,13130.83,13169.89,27.86532474,valley,0 days 00:02:00
15min,2017-12-30 12:13:00,13131.3,13131.31,13098.09,13131.31,36.31221705,valley,0 days 00:24:00
1min,2017-12-30 12:16:00,13166.97,13169.95,13107.72,13123.11,8.23864545,valley,0 days 00:02:00
1min,2017-12-30 12:18:00,13175.0,13211.77,13111.36,13196.14,6.00804707,valley,0 days 00:02:00
5min,2017-12-30 12:18:00,13175.0,13211.77,13111.36,13196.14,6.00804707,peak,0 days 00:05:00
1min,2017-12-30 12:20:00,13155.0,13155.0,13120.89,13155.0,5.97768568,valley,0 days 00:02:00
1min,2017-12-30 12:25:00,13264.99,13279.0,13225.96,13269.97,4.55106245,valley,0 days 00:02:00
