timeframe,date,open,close,low,high,volume,ATR
1min,2017-10-06 01:39:00,4329.95,4329.98,4325.02,4329.98,2.42159644,3.753435272942301
1min,2017-10-06 01:40:00,4325.01,4329.99,4325.0,4329.99,0.65427375,3.841761324874978
1min,2017-10-06 01:41:00,4329.99,4329.98,4329.98,4329.99,0.58503912,3.5680640873839238
1min,2017-10-06 01:42:00,4325.05,4329.99,4325.03,4329.99,2.54013401,3.6674880811422175
1min,2017-10-06 01:43:00,4329.45,4329.99,4325.14,4329.99,2.77904305,3.751953218203449
1min,2017-10-06 01:44:00,4329.99,4329.98,4325.0,4329.99,7.96,3.8403851311889015
1min,2017-10-06 01:45:00,4326.96,4329.87,4325.0,4329.94,0.06274707,3.921786193246806
1min,2017-10-06 01:46:00,4329.82,4322.1,4320.95,4329.82,8.51345852,4.278801465157754
1min,2017-10-06 01:47:00,4311.67,4311.57,4308.03,4321.11,11.32084191,4.978172789075101
1min,2017-10-06 01:48:00,4311.57,4319.59,4311.57,4319.59,5.6384,5.195446161284053
1min,2017-10-06 01:49:00,4322.8,4318.98,4318.98,4323.98,0.41281448,5.1814857211923355
1min,2017-10-06 01:50:00,4323.64,4316.15,4316.15,4323.64,0.93121925,5.346379598250075
1min,2017-10-06 01:51:00,4316.15,4316.15,4316.15,4316.15,0.0,4.964495341232213
1min,2017-10-06 01:52:00,4322.83,4320.68,4320.68,4322.83,0.03347784,5.087031388287075
1min,2017-10-06 01:53:00,4320.68,4320.68,4320.68,4320.68,0.0,4.723672003409427
1min,2017-10-06 01:54:00,4320.68,4320.68,4320.68,4320.68,0.0,4.386266860308754
1min,2017-10-06 01:55:00,4320.75,4320.75,4320.75,4320.75,0.10700519,4.077962084572394
1min,2017-10-06 01:56:00,4320.75,4320.75,4320.75,4320.75,0.0,3.7866790785315088
1min,2017-10-06 01:57:00,4322.72,4324.7,4322.72,4324.7,0.05956985,3.798344858636388
1min,2017-10-06 01:58:00,4324.78,4324.67,4324.67,4324.78,0.05168862,3.534891654448051
1min,2017-10-06 01:59:00,4323.76,4324.0,4323.76,4324.0,6.8399439,3.347399393416037
1min,2017-10-06 02:00:00,4323.8,4327.24,4323.8,4327.24,0.08624273,3.35401372245772
1min,2017-10-06 02:01:00,4327.33,4329.51,4327.33,4329.99,5.36998187,3.3108698851393115
1min,2017-10-06 02:02:00,4326.61,4324.55,4324.55,4329.99,2.15092674,3.462950607629332
1min,2017-10-06 02:03:00,4329.98,4329.99,4329.98,4329.99,2.83614227,3.6041684213700655
1min,2017-10-06 02:04:00,4325.25,4325.25,4325.25,4325.25,0.01862213,3.685299248415045
1min,2017-10-06 02:05:00,4325.35,4325.67,4325.35,4329.99,0.891368,3.7606350163853834
1min,2017-10-06 02:06:00,4329.98,4324.55,4324.55,4329.98,2.82557164,3.879875372357812
1min,2017-10-06 02:07:00,4324.67,4324.67,4324.67,4324.67,0.02925273,3.6113128457608177
1min,2017-10-06 02:08:00,4329.9,4329.9,4329.9,4329.9,0.02119444,3.726933356777871
1min,2017-10-06 02:09:00,4329.95,4325.16,4325.16,4329.98,0.04318156,3.805009545579431
1min,2017-10-06 02:10:00,4324.55,4324.54,4324.54,4324.55,10.16035827,3.577508863752321
1min,2017-10-06 02:11:00,4320.86,4320.86,4320.86,4320.86,0.19265877,3.5848296591986046
1min,2017-10-06 02:12:00,4320.86,4320.86,4320.86,4320.86,0.0,3.328770397827276
1min,2017-10-06 02:13:00,4322.99,4322.99,4321.01,4323.0,1.02074327,3.2438582265539226
1min,2017-10-06 02:14:00,4322.99,4323.0,4322.99,4323.0,2.71940003,3.012868353228658
1min,2017-10-06 02:15:00,4323.0,4323.0,4323.0,4323.0,6.79427279,2.797663470855182
1min,2017-10-06 02:16:00,4324.54,4328.63,4324.54,4328.63,0.6304,2.9999732229369624
1min,2017-10-06 02:17:00,4328.23,4328.25,4328.23,4328.25,0.05966035,2.814260849870075
1min,2017-10-06 02:18:00,4328.25,4328.25,4328.25,4328.25,0.0,2.6132422177364982
1min,2017-10-06 02:19:00,4329.38,4324.31,4324.21,4329.38,5.0,2.7958677736124677
1min,2017-10-06 02:20:00,4324.31,4324.31,4324.31,4324.31,0.0,2.5961629326401487
1min,2017-10-06 02:21:00,4324.31,4324.31,4324.31,4324.31,0.0,2.410722723165853
1min,2017-10-06 02:22:00,4329.65,4329.65,4329.65,4329.65,0.02340963,2.619956814368237
1min,2017-10-06 02:23:00,4329.61,4323.02,4321.0,4329.61,0.40946262,3.0506741847704797
1min,2017-10-06 02:24:00,4323.0,4321.0,4321.0,4323.0,0.25614157,2.977054600144048
1min,2017-10-06 02:25:00,4322.48,4322.5,4322.48,4322.5,0.53599523,2.871550700133759
1min,2017-10-06 02:26:00,4322.5,4321.07,4321.06,4322.5,0.32247201,2.7692970786956046
1min,2017-10-06 02:27:00,4322.5,4323.33,4321.1,4323.33,2.22825609,2.7329187159316484
1min,2017-10-06 02:28:00,4323.33,4323.33,4323.33,4323.33,0.0,2.537710236222245
1min,2017-10-06 02:29:00,4323.09,4313.51,4313.51,4323.09,5.57926912,3.0578737907777778
1min,2017-10-06 02:30:00,4322.11,4321.67,4321.67,4322.11,0.07283759,3.453739948579326
1min,2017-10-06 02:31:00,4321.71,4322.67,4321.71,4326.05,2.42102395,3.5199013808236677
1min,2017-10-06 02:32:00,4323.43,4322.58,4319.19,4323.43,0.61196165,3.571336996479169
1min,2017-10-06 02:33:00,4322.76,4322.79,4322.76,4322.8,3.29324515,3.331955782444961
1min,2017-10-06 02:34:00,4322.8,4322.86,4322.8,4323.0,0.25440354,3.1089589408417524
1min,2017-10-06 02:35:00,4317.16,4323.0,4317.16,4323.0,2.79727636,3.304033302210209
1min,2017-10-06 02:36:00,4323.0,4323.0,4323.0,4323.0,0.0,3.068030923480908
1min,2017-10-06 02:37:00,4321.95,4315.04,4315.04,4321.97,0.05142978,3.417457286089417
1min,2017-10-06 02:38:00,4321.95,4322.0,4321.95,4322.0,1.5,3.670496051368747
1min,2017-10-06 02:39:00,4318.06,4312.76,4312.75,4318.06,3.01846414,4.069032047699551
1min,2017-10-06 02:40:00,4315.58,4310.6,4310.6,4315.58,2.32852065,4.134101187149552
1min,2017-10-06 02:41:00,4310.63,4316.8,4310.6,4317.09,0.76531921,4.3023796737817115
1min,2017-10-06 02:42:00,4316.76,4316.73,4316.73,4318.06,0.53883085,4.090066839940221
1min,2017-10-06 02:43:00,4311.67,4311.67,4311.67,4311.67,0.004641,4.159347779944454
1min,2017-10-06 02:44:00,4313.45,4318.06,4313.45,4318.06,0.24403625,4.318680081377017
1min,2017-10-06 02:45:00,4318.06,4314.19,4314.19,4322.77,2.25080798,4.623060075564433
1min,2017-10-06 02:46:00,4320.89,4320.9,4320.89,4320.91,0.15569791,4.77284149873842
1min,2017-10-06 02:47:00,4321.47,4321.46,4321.46,4321.47,0.09600681,4.472638534542862
1min,2017-10-06 02:48:00,4322.59,4322.59,4322.59,4322.59,1.23003154,4.23387863921838
1min,2017-10-06 02:49:00,4322.59,4322.59,4322.59,4322.59,0.0,3.9314587364170674
1min,2017-10-06 02:50:00,4322.59,4322.59,4322.59,4322.59,0.0,3.6506402552444195
1min,2017-10-06 02:51:00,4322.59,4322.59,4322.59,4322.59,0.0,3.3898802370126755
1min,2017-10-06 02:52:00,4320.32,4320.71,4315.32,4320.79,2.26302632,3.667031648654658
1min,2017-10-06 02:53:00,4320.65,4320.63,4320.63,4320.65,0.64270049,3.4108151023221773
1min,2017-10-06 02:54:00,4313.44,4313.44,4313.44,4313.44,0.029339,3.6807568807277726
1min,2017-10-06 02:55:00,4313.44,4313.44,4313.44,4313.44,0.0,3.417845674961503
1min,2017-10-06 02:56:00,4320.0,4322.99,4320.0,4322.99,0.7444722,3.8558566981785516
1min,2017-10-06 02:57:00,4323.0,4323.0,4323.0,4323.0,0.11345594,3.5811526483086706
1min,2017-10-06 02:58:00,4320.02,4320.02,4320.02,4320.02,0.01855637,3.5382131734294484
1min,2017-10-06 02:59:00,4311.48,4311.45,4311.45,4311.48,3.0294073,3.897626518184532
1min,2017-10-06 03:00:00,4310.87,4310.87,4310.87,4310.87,0.05,3.66065319545706
1min,2017-10-06 03:01:00,4310.87,4310.87,4310.87,4310.87,0.0,3.3991779672101265
1min,2017-10-06 03:02:00,4310.87,4310.87,4310.87,4310.87,0.0,3.156379540980832
1min,2017-10-06 03:03:00,4318.58,4316.8,4316.8,4318.6,5.68319087,3.483066716625092
1min,2017-10-06 03:04:00,4314.28,4316.79,4312.02,4316.79,1.19416423,3.5757048082947103
1min,2017-10-06 03:05:00,4315.01,4315.04,4315.01,4316.8,7.04085502,3.4481544648450857
1min,2017-10-06 03:06:00,4316.8,4316.8,4316.8,4316.8,4.07082479,3.3275720030704528
1min,2017-10-06 03:07:00,4315.11,4316.8,4315.11,4316.8,1.21526381,3.2106025742797426
1min,2017-10-06 03:08:00,4316.8,4317.12,4316.8,4317.12,0.31772759,3.004130961831169
1min,2017-10-06 03:09:00,4317.12,4322.79,4317.12,4322.79,0.93090608,3.1945501788432336
1min,2017-10-06 03:10:00,4322.79,4322.79,4322.79,4322.79,0.0,2.9663680232115737
1min,2017-10-06 03:11:00,4316.8,4315.24,4315.24,4316.8,0.18351456,3.2937703072679025
1min,2017-10-06 03:12:00,4317.12,4317.11,4317.11,4318.2,0.4799169,3.2699295710344836
1min,2017-10-06 03:13:00,4322.35,4320.55,4320.55,4322.35,0.00749293,3.4106488873892125
1min,2017-10-06 03:14:00,4320.72,4320.72,4320.72,4320.72,0.10619758,3.1791739668614167
1min,2017-10-06 03:15:00,4315.44,4315.44,4315.44,4315.44,1.736,3.329232969228505
1min,2017-10-06 03:16:00,4320.52,4318.05,4318.05,4320.52,0.08534297,3.454287757140815
1min,2017-10-06 03:17:00,4318.05,4318.05,4318.05,4318.05,0.0,3.2075529173450428
1min,2017-10-06 03:18:00,4323.0,4323.0,4322.99,4323.0,1.38392254,3.3320134232489553
1min,2017-10-06 03:19:00,4323.0,4323.0,4323.0,4323.0,4.59549171,3.0940124644454587
1min,2017-10-06 03:20:00,4323.0,4323.0,4323.0,4323.0,1.38109466,2.873011574127926
1min,2017-10-06 03:21:00,4323.0,4323.0,4323.0,4323.0,0.10614156,2.667796461690217
1min,2017-10-06 03:22:00,4322.99,4322.99,4322.99,4322.99,2.72228413,2.4779538572837887
1min,2017-10-06 03:23:00,4322.99,4322.99,4322.99,4322.99,0.0,2.3009571531920896
1min,2017-10-06 03:24:00,4322.98,4322.98,4322.98,4322.98,0.05306987,2.1373173565355272
1min,2017-10-06 03:25:00,4322.99,4318.74,4318.74,4322.99,1.046641,2.288223259640133
1min,2017-10-06 03:26:00,4318.74,4318.74,4318.74,4318.74,0.0,2.124778741094409
1min,2017-10-06 03:27:00,4318.77,4323.0,4318.77,4323.0,0.23308036,2.277294545301967
1min,2017-10-06 03:28:00,4323.0,4323.0,4323.0,4323.0,0.04042863,2.1146306492089697
1min,2017-10-06 03:29:00,4323.0,4323.0,4323.0,4323.0,0.0,1.9635856028369005
1min,2017-10-06 03:30:00,4323.0,4323.0,4323.0,4323.0,0.0,1.8233294883485505
1min,2017-10-06 03:31:00,4318.67,4321.29,4318.67,4321.29,0.02124506,2.0023773820379343
1min,2017-10-06 03:32:00,4322.99,4318.53,4318.53,4322.99,0.24567821,2.177921854749513
1min,2017-10-06 03:33:00,4322.96,4322.85,4322.85,4322.96,0.28131148,2.338784579410283
1min,2017-10-06 03:34:00,4318.6,4322.94,4318.6,4322.94,0.15993156,2.4817285380237797
1min,2017-10-06 03:35:00,4318.39,4319.98,4318.39,4319.98,1.98783577,2.629462213879172
1min,2017-10-06 03:36:00,4318.47,4318.37,4318.35,4323.0,6.03597976,2.7737863414592048
1min,2017-10-06 03:37:00,4318.06,4314.49,4314.49,4322.94,27.27705046,3.1792301742121056
1min,2017-10-06 03:38:00,4317.64,4320.11,4314.49,4321.9,5.42263215,3.4814280189112305
1min,2017-10-06 03:39:00,4320.1,4319.71,4319.71,4321.67,0.24485535,3.3727545889890025
1min,2017-10-06 03:40:00,4319.71,4322.03,4316.61,4323.0,1.55635057,3.5882721183469544
1min,2017-10-06 03:41:00,4322.03,4322.99,4320.96,4322.99,0.27108154,3.4769669670364394
1min,2017-10-06 03:42:00,4321.95,4323.79,4321.95,4323.79,1.16747873,3.3600407551052753
1min,2017-10-06 03:43:00,4323.12,4327.14,4323.12,4327.14,0.22030725,3.407180701169215
1min,2017-10-06 03:44:00,4327.19,4323.1,4323.1,4328.95,12.96281537,3.5816677939428034
1min,2017-10-06 03:45:00,4328.87,4328.77,4323.1,4328.93,3.80340579,3.7422629515183123
1min,2017-10-06 03:46:00,4328.71,4328.8,4328.32,4328.84,0.17661915,3.512101312124178
1min,2017-10-06 03:47:00,4328.65,4328.65,4328.65,4328.65,0.02304386,3.2719512184010613
1min,2017-10-06 03:48:00,4327.16,4323.1,4323.1,4327.16,5.44176247,3.4346689885152193
