timeframe,date,original_start,open,close,high,low,volume,peak_or_valley,strength,permanent_strength,atr,return_end_time,movement_start_time,return_end_value,movement_start_value,target,timeframe_timedelta,major_timeframe,is_resistance,level,internal_margin,external_margin,ttl,hit,boundary_of_hit_end_0,hit_end_0,boundary_of_hit_start_1,boundary_of_hit_end_1,hit_start_1,hit_end_1,boundary_of_hit_start_2,left_more_significant_top,left_more_significant_top_value,right_more_significant_top,right_more_significant_top_value,deactivated_at,passing_time,boundary_of_hit_end_2,hit_start_2,hit_end_2,archived_at,master_pivot_timeframe,master_pivot_date
15min,2023-11-16 14:30:00+00:00,2023-11-16 14:30:00+00:00,36543.4,36592.0,36592.0,36437.1,24.76312308,valley,4380.0,True,165.76395729812586,2023-11-16 14:31:00+00:00,2023-11-16 13:39:00+00:00,36641.0,36937.4,36437.1,0 days 00:15:00,False,False,36437.1,36543.4,36271.33604270187,2023-11-21 22:30:00+00:00,0,2023-11-16 14:45:00+00:00,2023-11-16 15:00:00+00:00,2023-11-16 15:15:00+00:00,2023-11-16 15:45:00+00:00,2023-11-16 15:30:00+00:00,,,,,2023-11-16 15:55:00+00:00,36256.7,2023-11-16 18:45:00+00:00,2023-11-16 18:45:00+00:00,,,,,,
15min,2023-11-16 15:55:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,200.3656703625965,2023-11-16 16:01:00+00:00,2023-11-16 15:33:00+00:00,36466.4,36906.9,36256.7,0 days 00:15:00,False,False,36256.7,36405.3,36056.3343296374,2023-11-21 23:55:00+00:00,0,2023-11-16 16:15:00+00:00,2023-11-16 16:30:00+00:00,2023-11-16 16:45:00+00:00,2023-11-16 18:00:00+00:00,2023-11-16 17:45:00+00:00,,,,,2023-11-16 18:24:00+00:00,36080.0,2023-11-16 19:30:00+00:00,2023-11-16 19:30:00+00:00,,,,,,
15min,2023-11-16 18:24:00+00:00,2023-11-16 18:24:00+00:00,36124.0,36104.1,36152.7,36080.0,3.50394411,valley,2760.0,True,187.6683447889097,2023-11-16 18:28:00+00:00,2023-11-16 15:42:00+00:00,36270.0,36680.5,36080.0,0 days 00:15:00,True,False,36080.0,36272.6,35892.33165521109,2023-11-22 02:24:00+00:00,0,2023-11-16 18:30:00+00:00,2023-11-17 00:45:00+00:00,2023-11-17 01:00:00+00:00,,,,,,,2023-11-16 19:40:00+00:00,35499.5,2023-11-16 19:30:00+00:00,2023-11-16 19:30:00+00:00,,,,,,
15min,2023-11-16 18:45:00+00:00,2023-11-16 14:30:00+00:00,36543.4,36592.0,36592.0,36437.1,24.76312308,valley,4380.0,True,165.76395729812586,2023-11-16 18:45:00+00:00,2023-11-16 13:39:00+00:00,36641.0,36937.4,36437.1,0 days 00:15:00,False,True,36437.1,36271.33604270187,36543.4,2023-11-21 22:30:00+00:00,3,2023-11-16 19:00:00+00:00,2023-11-16 19:15:00+00:00,2023-11-16 19:30:00+00:00,2023-11-16 23:00:00+00:00,2023-11-16 22:45:00+00:00,2023-11-16 23:15:00+00:00,2023-11-16 23:30:00+00:00,,,2023-11-16 15:55:00+00:00,36256.7,2023-11-17 10:15:00+00:00,,2023-11-17 00:45:00+00:00,2023-11-17 00:30:00+00:00,2023-11-17 10:15:00+00:00,,,
15min,2023-11-16 19:30:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,200.3656703625965,2023-11-16 19:30:00+00:00,2023-11-16 15:33:00+00:00,36466.4,36906.9,36256.7,0 days 00:15:00,False,True,36256.7,36056.3343296374,36405.3,2023-11-21 23:55:00+00:00,0,2023-11-16 19:45:00+00:00,,,,,,,,,2023-11-16 18:24:00+00:00,36080.0,2023-11-17 01:45:00+00:00,2023-11-17 01:45:00+00:00,,,,,,
15min,2023-11-16 19:30:00+00:00,2023-11-16 18:24:00+00:00,36124.0,36104.1,36152.7,36080.0,3.50394411,valley,2760.0,True,187.6683447889097,2023-11-16 19:30:00+00:00,2023-11-16 15:42:00+00:00,36270.0,36680.5,36080.0,0 days 00:15:00,True,True,36080.0,35892.33165521109,36272.6,2023-11-22 02:24:00+00:00,0,2023-11-16 19:45:00+00:00,,,,,,,,,2023-11-16 19:40:00+00:00,35499.5,2023-11-17 00:45:00+00:00,2023-11-17 00:45:00+00:00,,,,,,
15min,2023-11-16 19:40:00+00:00,2023-11-16 19:40:00+00:00,35516.7,35611.7,35611.7,35499.5,11.40572679,valley,102000.0,False,219.5532931622768,2023-11-16 19:41:00+00:00,2023-11-16 19:07:00+00:00,35732.5,36198.6,35499.5,0 days 00:15:00,False,False,35499.5,35766.8,35279.94670683772,2023-11-22 03:40:00+00:00,0,2023-11-16 19:45:00+00:00,2023-11-16 20:00:00+00:00,2023-11-16 20:15:00+00:00,,,,,,,,,,,,,,,,
15min,2023-11-16 22:55:00+00:00,2023-11-16 22:55:00+00:00,36263.9,36267.8,36275.2,36262.4,1.55887984,peak,6240.0,True,179.51612262911178,2023-11-16 23:04:00+00:00,2023-11-16 20:16:00+00:00,36063.3,35682.6,36275.2,0 days 00:15:00,True,True,36275.2,36213.5,36454.71612262911,2023-11-22 06:55:00+00:00,0,2023-11-16 23:15:00+00:00,2023-11-16 23:30:00+00:00,2023-11-16 23:45:00+00:00,2023-11-17 00:30:00+00:00,2023-11-17 00:15:00+00:00,,,2023-11-16 17:12:00+00:00,36505.8,2023-11-17 02:30:00+00:00,36665.2,2023-11-17 02:00:00+00:00,2023-11-17 02:00:00+00:00,,,,,,
15min,2023-11-17 00:45:00+00:00,2023-11-16 18:24:00+00:00,36124.0,36104.1,36152.7,36080.0,3.50394411,valley,2760.0,True,187.6683447889097,2023-11-17 00:45:00+00:00,2023-11-16 15:42:00+00:00,36270.0,36680.5,36080.0,0 days 00:15:00,True,False,36080.0,36272.6,35892.33165521109,2023-11-22 02:24:00+00:00,3,2023-11-17 01:00:00+00:00,2023-11-17 01:15:00+00:00,2023-11-17 01:30:00+00:00,2023-11-17 05:30:00+00:00,2023-11-17 05:15:00+00:00,2023-11-17 06:15:00+00:00,2023-11-17 06:30:00+00:00,,,2023-11-16 19:40:00+00:00,35499.5,2023-11-17 08:30:00+00:00,,2023-11-17 07:30:00+00:00,2023-11-17 07:15:00+00:00,2023-11-17 08:30:00+00:00,,,
15min,2023-11-17 01:45:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,200.3656703625965,2023-11-17 01:45:00+00:00,2023-11-16 15:33:00+00:00,36466.4,36906.9,36256.7,0 days 00:15:00,False,False,36256.7,36405.3,36056.3343296374,2023-11-21 23:55:00+00:00,3,2023-11-17 02:00:00+00:00,2023-11-17 02:15:00+00:00,2023-11-17 02:30:00+00:00,2023-11-17 03:00:00+00:00,2023-11-17 02:45:00+00:00,2023-11-17 03:45:00+00:00,2023-11-17 04:00:00+00:00,,,2023-11-16 18:24:00+00:00,36080.0,2023-11-17 04:45:00+00:00,2023-11-17 16:45:00+00:00,2023-11-17 04:30:00+00:00,2023-11-17 04:15:00+00:00,2023-11-17 04:45:00+00:00,,,
