timeframe,date,open,close,high,low,volume
1min,2023-10-23 17:12:00,31183.7,31195.9,31221.4,31183.7,3.30290479
1min,2023-10-23 17:13:00,31195.9,31197.4,31207.8,31187.0,3.81878952
1min,2023-10-23 17:14:00,31197.3,31173.0,31200.8,31167.0,1.5398629
15min,2023-10-23 17:15:00,31171.7,30889.3,31178.0,30827.3,119.66822665000001
1min,2023-10-23 17:15:00,31171.7,31126.6,31178.0,31120.7,5.54050516
5min,2023-10-23 17:15:00,31171.7,31106.5,31178.0,31062.0,38.67609585
1min,2023-10-23 17:16:00,31126.6,31064.5,31133.3,31063.8,20.86355999
1min,2023-10-23 17:17:00,31067.6,31102.4,31107.4,31062.0,3.62728835
1min,2023-10-23 17:18:00,31097.5,31130.2,31130.2,31091.1,6.59988423
1min,2023-10-23 17:19:00,31135.4,31106.5,31137.7,31094.7,2.04485812
1min,2023-10-23 17:20:00,31093.9,31125.8,31139.7,31093.0,2.89133274
5min,2023-10-23 17:20:00,31093.9,31096.9,31139.7,31093.0,8.19583567
1min,2023-10-23 17:21:00,31120.2,31123.0,31123.1,31104.2,1.39579236
1min,2023-10-23 17:22:00,31123.1,31121.2,31130.1,31112.9,2.29189721
1min,2023-10-23 17:23:00,31116.5,31101.4,31116.5,31101.3,0.77516102
1min,2023-10-23 17:24:00,31101.4,31096.9,31117.2,31096.9,0.84165234
1min,2023-10-23 17:25:00,31097.1,31037.5,31097.1,31019.0,9.75435643
5min,2023-10-23 17:25:00,31097.1,30889.3,31097.1,30827.3,72.79629513
1min,2023-10-23 17:26:00,31037.5,31005.0,31040.8,30997.6,15.59602714
1min,2023-10-23 17:27:00,31008.1,31007.0,31049.5,31001.5,7.34822167
1min,2023-10-23 17:28:00,31000.0,30903.4,31005.3,30827.3,30.14665756
1min,2023-10-23 17:29:00,30903.4,30889.3,30946.8,30877.1,9.95103233
15min,2023-10-23 17:30:00,30889.3,31002.6,31078.0,30831.9,112.20034676
1min,2023-10-23 17:30:00,30889.3,30874.4,30933.4,30870.0,35.59271461
5min,2023-10-23 17:30:00,30889.3,30923.4,30964.6,30831.9,60.79165254
