timeframe,date,bull_bear_side,end,internal_high,high_time,internal_low,low_time,movement,atr,movement_start_value,movement_end_value,movement_start_time,movement_end_time
4h,2023-11-16 04:00:00+00:00,SIDE_TREND,2023-11-18 00:00:00+00:00,37616.3,2023-11-16 04:00:00+00:00,35499.5,2023-11-16 16:00:00+00:00,2116.800000000003,652.132371665391,,,,
1min,2023-11-16 04:13:00+00:00,SIDE_TREND,2023-11-16 04:15:00+00:00,37379.7,2023-11-16 04:13:00+00:00,37357.8,2023-11-16 04:13:00+00:00,21.89999999999418,11.734410382035307,,,,
1min,2023-11-16 04:15:00+00:00,BEARISH_TREND,2023-11-16 04:22:00+00:00,37458.1,2023-11-16 04:16:00+00:00,37325.0,2023-11-16 04:17:00+00:00,133.09999999999854,12.803296286094838,37458.1,37325.0,2023-11-16 03:55:00+00:00,2023-11-16 04:26:00+00:00
1min,2023-11-16 04:22:00+00:00,SIDE_TREND,2023-11-16 04:26:00+00:00,37362.5,2023-11-16 04:22:00+00:00,37343.1,2023-11-16 04:23:00+00:00,19.400000000001455,11.866983903422268,,,,
1min,2023-11-16 04:26:00+00:00,BULLISH_TREND,2023-11-16 04:39:00+00:00,37503.7,2023-11-16 04:38:00+00:00,37325.0,2023-11-16 04:26:00+00:00,178.6999999999971,16.0839544958324,37325.0,37503.7,2023-11-16 04:26:00+00:00,2023-11-16 04:38:00+00:00
15min,2023-11-16 04:30:00+00:00,SIDE_TREND,2023-11-16 04:45:00+00:00,37503.7,2023-11-16 04:30:00+00:00,37415.2,2023-11-16 04:30:00+00:00,88.5,122.21156148980307,,,,
5min,2023-11-16 04:30:00+00:00,BULLISH_TREND,2023-11-16 04:40:00+00:00,37503.7,2023-11-16 04:35:00+00:00,37325.0,2023-11-16 04:30:00+00:00,178.6999999999971,50.60097605511259,37325.0,37503.7,2023-11-16 04:26:00+00:00,2023-11-16 04:38:00+00:00
1min,2023-11-16 04:39:00+00:00,SIDE_TREND,2023-11-16 04:41:00+00:00,37503.6,2023-11-16 04:39:00+00:00,37467.9,2023-11-16 04:40:00+00:00,35.69999999999709,16.114299544513944,,,,
5min,2023-11-16 04:40:00+00:00,SIDE_TREND,2023-11-16 04:55:00+00:00,37496.9,2023-11-16 04:40:00+00:00,37428.3,2023-11-16 04:50:00+00:00,68.59999999999854,48.219531543234666,,,,
1min,2023-11-16 04:41:00+00:00,BEARISH_TREND,2023-11-16 04:51:00+00:00,37503.7,2023-11-16 04:42:00+00:00,37428.3,2023-11-16 04:50:00+00:00,75.39999999999418,15.079046801579626,37503.7,37428.3,2023-11-16 04:38:00+00:00,2023-11-16 04:50:00+00:00
15min,2023-11-16 04:45:00+00:00,BULLISH_TREND,2023-11-16 06:45:00+00:00,37616.3,2023-11-16 06:00:00+00:00,37325.0,2023-11-16 05:15:00+00:00,291.3000000000029,107.80920409438632,37325.0,37616.3,2023-11-16 04:26:00+00:00,2023-11-16 07:04:00+00:00
1min,2023-11-16 04:51:00+00:00,SIDE_TREND,2023-11-16 04:53:00+00:00,37457.3,2023-11-16 04:52:00+00:00,37433.1,2023-11-16 04:51:00+00:00,24.200000000004366,14.433904616375756,,,,
1min,2023-11-16 04:53:00+00:00,BULLISH_TREND,2023-11-16 04:56:00+00:00,37472.0,2023-11-16 04:54:00+00:00,37428.3,2023-11-16 04:53:00+00:00,43.69999999999709,13.407842875603942,37428.3,37472.0,2023-11-16 04:50:00+00:00,2023-11-16 04:56:00+00:00
5min,2023-11-16 04:55:00+00:00,BEARISH_TREND,2023-11-16 05:00:00+00:00,37503.7,2023-11-16 04:55:00+00:00,37330.6,2023-11-16 04:55:00+00:00,173.09999999999854,47.21097315244936,37503.7,37330.6,2023-11-16 04:38:00+00:00,2023-11-16 05:21:00+00:00
1min,2023-11-16 04:56:00+00:00,SIDE_TREND,2023-11-16 04:58:00+00:00,37472.0,2023-11-16 04:56:00+00:00,37457.2,2023-11-16 04:57:00+00:00,14.80000000000291,12.911797161762724,,,,
1min,2023-11-16 04:58:00+00:00,BEARISH_TREND,2023-11-16 05:11:00+00:00,37472.0,2023-11-16 04:58:00+00:00,37330.6,2023-11-16 05:07:00+00:00,141.40000000000146,12.67256630950098,37472.0,37330.6,2023-11-16 04:56:00+00:00,2023-11-16 05:21:00+00:00
5min,2023-11-16 05:00:00+00:00,SIDE_TREND,2023-11-16 05:25:00+00:00,37437.2,2023-11-16 05:00:00+00:00,37330.6,2023-11-16 05:20:00+00:00,106.59999999999854,45.63781482814287,,,,
1min,2023-11-16 05:11:00+00:00,SIDE_TREND,2023-11-16 05:14:00+00:00,37392.8,2023-11-16 05:13:00+00:00,37350.0,2023-11-16 05:11:00+00:00,42.80000000000291,14.280098065022008,,,,
1min,2023-11-16 05:14:00+00:00,BEARISH_TREND,2023-11-16 05:21:00+00:00,37394.8,2023-11-16 05:14:00+00:00,37330.6,2023-11-16 05:18:00+00:00,64.20000000000437,14.705535668595214,37394.8,37330.6,2023-11-16 05:14:00+00:00,2023-11-16 05:21:00+00:00
1min,2023-11-16 05:21:00+00:00,BULLISH_TREND,2023-11-16 05:27:00+00:00,37380.6,2023-11-16 05:26:00+00:00,37330.6,2023-11-16 05:21:00+00:00,50.0,13.943910091129034,37330.6,37380.6,2023-11-16 05:21:00+00:00,2023-11-16 05:26:00+00:00
5min,2023-11-16 05:25:00+00:00,BULLISH_TREND,2023-11-16 07:05:00+00:00,37616.3,2023-11-16 07:00:00+00:00,37330.6,2023-11-16 05:25:00+00:00,285.70000000000437,42.519983460895226,37330.6,37616.3,2023-11-16 05:21:00+00:00,2023-11-16 07:04:00+00:00
1min,2023-11-16 05:27:00+00:00,SIDE_TREND,2023-11-16 05:28:00+00:00,37380.4,2023-11-16 05:27:00+00:00,37370.5,2023-11-16 05:27:00+00:00,9.900000000001455,13.948330811232664,,,,
1min,2023-11-16 05:28:00+00:00,BULLISH_TREND,2023-11-16 05:40:00+00:00,37460.2,2023-11-16 05:38:00+00:00,37330.6,2023-11-16 05:28:00+00:00,129.59999999999854,14.755614062617376,37330.6,37460.2,2023-11-16 05:21:00+00:00,2023-11-16 05:57:00+00:00
